Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),Yaw (deg),Pitch (deg),Roll (deg),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),GPS TOW,GPS Week Number
16000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172816.000,2099
16100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172816.100,2099
16200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172816.200,2099
16300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172816.300,2099
16400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172816.400,2099
16500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172816.500,2099
16600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172816.600,2099
16700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172816.700,2099
16800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172816.800,2099
16900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172816.900,2099
17000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172817.000,2099
17100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172817.100,2099
17200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172817.200,2099
17300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172817.300,2099
17400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172817.400,2099
17500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172817.500,2099
17600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172817.600,2099
17700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172817.700,2099
17800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172817.800,2099
17900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172817.900,2099
18000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172818.000,2099
18100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172818.100,2099
18200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172818.200,2099
18300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172818.300,2099
18400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172818.400,2099
18500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172818.500,2099
18600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172818.600,2099
18700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172818.700,2099
18800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172818.800,2099
18900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172818.900,2099
19000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172819.000,2099
19100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172819.100,2099
19200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172819.200,2099
19300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172819.300,2099
19400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172819.400,2099
19500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172819.500,2099
19600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172819.600,2099
19700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172819.700,2099
19800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172819.800,2099
19900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172819.900,2099
20000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172820.000,2099
20100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172820.100,2099
20200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172820.200,2099
20300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172820.300,2099
20400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172820.400,2099
20500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172820.500,2099
20600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172820.600,2099
20700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172820.700,2099
20800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172820.800,2099
20900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172820.900,2099
21000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172821.000,2099
21100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172821.100,2099
21200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172821.200,2099
21300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172821.300,2099
21400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172821.400,2099
21500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172821.500,2099
21600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172821.600,2099
21700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172821.700,2099
21800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172821.800,2099
21900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172821.900,2099
22000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172822.000,2099
22100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172822.100,2099
22200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172822.200,2099
22300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172822.300,2099
22400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172822.400,2099
22500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172822.500,2099
22600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172822.600,2099
22700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172822.700,2099
22800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172822.800,2099
22900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172822.900,2099
23000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172823.000,2099
23100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172823.100,2099
23200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172823.200,2099
23300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172823.300,2099
23400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172823.400,2099
23500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172823.500,2099
23600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172823.600,2099
23700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172823.700,2099
23800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172823.800,2099
23900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172823.900,2099
24000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172824.000,2099
24100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172824.100,2099
24200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172824.200,2099
24300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172824.300,2099
24400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172824.400,2099
24500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172824.500,2099
24600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172824.600,2099
24700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172824.700,2099
24800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172824.800,2099
24900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172824.900,2099
25000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172825.000,2099
25100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172825.100,2099
25200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172825.200,2099
25300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172825.300,2099
25400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172825.400,2099
25500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172825.500,2099
25600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172825.600,2099
25700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172825.700,2099
25800,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172825.800,2099
25900,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172825.900,2099
26000,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172826.000,2099
26100,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172826.100,2099
26200,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172826.200,2099
26300,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172826.300,2099
26400,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172826.400,2099
26500,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172826.500,2099
26600,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172826.600,2099
26700,1320816.159965,-4320194.995358,4487349.82308,0,0,0,0,0,0,0,0,0,172826.700,2099
